PuzzleID,Strategy,Solved,Solution Depth,Expanded Nodes,Max Fringe Size,Execution Time
1,DFS,True,3,0,0,0.11490488052368164
1,BFS,True,3,0,0,0.29869818687438965
1,UCS,True,3,0,0,1.787750482559204
1,A* with Manhattan Distance,True,9,0,0,3.625825881958008
2,DFS,True,3,0,0,0.3686246871948242
2,BFS,True,3,0,0,0.009732723236083984
2,UCS,True,3,0,0,0.045308589935302734
2,A* with Manhattan Distance,True,7,0,0,0.0890815258026123
3,DFS,True,3,0,0,0.8767745494842529
3,BFS,True,3,0,0,0.032430171966552734
3,UCS,True,3,0,0,0.17430734634399414
3,A* with Manhattan Distance,True,7,0,0,0.3458840847015381
4,DFS,True,3,0,0,0.06689333915710449
4,BFS,True,3,0,0,0.0011568069458007812
4,UCS,True,3,0,0,0.004008054733276367
4,A* with Manhattan Distance,True,5,0,0,0.00813913345336914
5,DFS,True,3,0,0,0.44813990592956543
